textID,text,sentiment,processed
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,she is good so gorjuz yea i kno i ask her yesterday when we were at tha hospit if she talk to u and she said no
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,ok im out of here for now just pop in to say hi and check on thing ill probabl head to the guttah later on tonight
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,wow i am realli missin the famili today baddd
b2c9f115b1, My sources say no,neutral,my sourc say no
0a61cbf4b5,I am sooo tired,negative,i am sooo tire
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",neutral,hey you chang your twitter account and you didnt even tell me
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,thank yyyyyyyyyoooooooooouuuuu
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,positive,lucki kid i so wanna see loservil piti im in oz
cb4d439ebc,fell asleep waiting for my ride!,neutral,fell asleep wait for my ride
64ed512788,Sick. With a flu like thing.,negative,sick with a flu like thing
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,still no repli from about my simfing problem so no irap parodi video until i get a respons sorri guy
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,happi star war day everyon and enjoy the holiday uk
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,mile from you im in essex so give me plenti of warn so i can arriv in time to get at least one of those free beer
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,hi snore is so annoy n it keep me from sleep like right now lol but i honestli wud miss it if it eva left i love him
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,negative,i miss you bbi wish you were go tomorrow to make me do good
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,well what im work on isnt quit readi to post about publicli still beta test but it a cool new script i code
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,sweeeeet san fran is awesom love it there
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,mounc ye and it last way past my bedtim
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,neutral,hi how are you do just join twitter
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,wait for sleep pill to kick in gonna be so tire at work tomorrow
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral,eat ice cream and then get readi for graduat
4c41a35a2a,Happy Mothers day to all you Mums out there,positive,happi mother day to all you mum out there
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,casey gone but whi so she piddl a littl on the carpet she prolli freak caus it new can we get her back
447dc22c81, hemp cloth is marvelous but unfortunately no,negative,hemp cloth is marvel but unfortun no
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,gonna read a stori bout adam lambert onlin then bed nighti night
92e1b6846e, We saw that in none 3D - the baddie`s the best,positive,we saw that in none 3d the baddi the best
2207d982bc,4am. And Im on the beach. Pretty,positive,4am and im on the beach pretti
15e01e1749," Certainly not Cheers than, huh?",neutral,certainli not cheer than huh
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,1 week post myhorr traumat jump cholla accid cholla next dirti trickpiec are start to emerg from my hand ouch
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,negative,i reali want to go out caus it so nice but everybodi busi
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,awesom im down in ocean beach if you know where that is by the way yourbiggestfan im a real big fan of your
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,at least i get to watch over time let go pen
d0d3c6f298, cool i wear black most of the time when i go out,neutral,cool i wear black most of the time when i go out
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,haha i do not know how to work blip apart from the obviou thank for reblip my song have a nice day
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,have a safe trip joshi poo youll knock them dead at your speech
a05aea73d7," woof, I wish I was allowed to go",positive,woof i wish i wa allow to go
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,if u have a friendster add me my email adress add me lococrim 1st com add me leav some comment
f0c1601d8b,  has tickets.......?,neutral,ha ticket
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,thank you afrin nasal spray also i got a giant teacup tonight
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,acsm it unfathom i think the other one and the is one that should be kept to the comfort of our bedroom ye
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,aww i love my daddi he work 7 day a week almost all day and still tri to go to sf with all of u
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,negative,so mani test todayyy i dont feel confid about anyy
401869d615,graduation is done  im a little sad.. anyone want to hang out???,negative,graduat is done im a littl sad anyon want to hang out
9843c4688e, hahaa your awesomee !,positive,hahaa your awesome
87fbf14655,holy smokes! star trek was freaking awesomeeeee,positive,holi smoke star trek wa freak awesomeeee
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,i hate fallout 3 it keep make me jump im also low on health money ammo and food dont worri ill get through it
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",neutral,i had it on my itun but then i lost all my song
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,what with the gloomi weather the sun must be too tire to come out and play head to victoria garden for some impuls buy haha
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,not look forward to next week math geographi english and french exam total 7 hour
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,poor you get outsid and sleep in the garden the sun will do you good but dont forget suncream
f0460d611d,not well,negative,not well
6649f3558c, Not a prob hun,positive,not a prob hun
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,at dad watch some mtv and am go on sim 2 in a minute
8e1583cb08, Absolutely,neutral,absolut
4ea61dbc7a, what`s the matter chickadee?,neutral,what the matter chickade
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,positive,hey mia total ador your music when will your cd be out
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,shop clean bmfing webcam chat with nephew noth spesh but a good bank holiday monday nonetheless
974b35f889, =O you need to ask him something? Lmao I love him too,positive,o you need to ask him someth lmao i love him too
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,those splinter look veri pain but you were be veri heroic save mr pickl
504539e6ec, why are you sad?,negative,whi are you sad
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,nice to see you tweet it sunday 10th may and were celebr mother day here today so be nice to yer mom
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,decid 2 tran frm relax 2 natur hair but i wish my whole head look like my root age of the instant gratif
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,namaskar namast r both the same marathi peopl say namaskar it a marathi word should i naaaah
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,congrat i cuss like that in a matter of minut but didnt know until now there is a reward for it
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,humou and dorito oh ye
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative,miss all the awesom weather becaus she wa in a movi
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,today is go to be a normal day for i hope we had a group of pilot from a larg airlin come in last night so it wa too much drink
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,these kid are terribl if i wa in good evan id call childlin
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,unfortunatley aerlingu no longer fli to copenhagen so were have to fli ryanair to billund and drive up to copenhagen one of the day
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",negative,what sad is that i actual had to googl that term that suck tho
7e4ed52c4a,Hate fighting,negative,hate fight
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,i watch that too i didnt want her to win but she put up a good fight lol
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative,carwarm sprite tast like sore throat
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,just came 11th in cross countri and beat dumbo
ae71041e21,Candle wax is very enjoyable.,positive,candl wax is veri enjoy
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,she unassum and unpretenti she just a i suppos that whi she so endearingbecaus we can relat to her
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,tomorrow valeria lunch go to get my hair done but im arrav late got my cousin babtizm or whatev you spell it
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,goooooddd morn tweet week three of my workout did i mention i got my new glass yesterday
fd285fe74a, me too. I hate my computer so much..,negative,me too i hate my comput so much
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,positive,fine go to do my big walk today 20 or so mile
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,i want red cruiser i dont like the other one lmfao
b948984e8d,Mmmmmmmm... ? it in the morning,neutral,mmmmmmmm it in the morn
6824c44c21, me neither,neutral,me neither
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,ha about 10 hour work to do on a sunday boo i will find time for a two hour lunchbreak though yeah
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative,bugger forgot i still have wash in my machin
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,lauri send love bless heal thought to you famili peac
e4e9b8713a,My back hurts...really bad,negative,my back hurt realli bad
08975f62a8," ah yes, I know that feeling",neutral,ah ye i know that feel
4a1ce7dc3b,Night of the cookers with my dad,neutral,night of the cooker with my dad
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,my modem ha been offlin for a week now god bless the 3g network tim just left again may schedul ha been brutal
abbd0db2a5, Nope I am in Coquitlam,neutral,nope i am in coquitlam
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,had parent teacher thing yesterday so bore go to skl on saturday lol
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,lichfield tweetup sound like fun hope to see you and everyon els there
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,big boom thunder storm almost here mayb we can all go home earli ah probabl not
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,positive,few bevvi 2day in twn great on a day off
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,first night in myer just not the same wout lydia but im actual excit about thi summer
f3d95b57b1, good morning,positive,good morn
5e4eac2b2e, its the best show EVER!,positive,it the best show ever
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,url in previou post to timer job should be a4fdb id remov space which mess up url e
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,i think iv hurt my tooth and eilish and cassi are have a draw competiton to draw cooki and pineappl haha l
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,neutral,i want to know when the audit are mander text or repli pleas
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,or even nooooo not the secret namerebecca pleas
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,i miss my neic cant wait to see her bad n grown lol
8d09044937,i need to get my computer fixed,neutral,i need to get my comput fix
9d3a1e0269,really hopes her car`s illness is not terminal...,negative,realli hope her car ill is not termin
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,all the cool peopl i want to find for follow today are english and i guess the english dont tweet
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral,no sir i woulda put honey but i dont have ani
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,positive,who watch xmen origin wolverin i total love it haha
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,i vote do u have a person myspac i keep talk to fake i 3 you u help me thru the hrdest time of my life x
8407ac30b0, I`m sad that I missed you guys last night!,negative,im sad that i miss you guy last night
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,final got a call for marriag counsel 3 day late
97625460cf, ok then,neutral,ok then
32e4ffe225,_420 why baby?,neutral,420 whi babi
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,today wa the last day of high school for me and i end up go home sick stupid dead rat
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,were have an impromptu pool parti except i dont know how to swim so i cant get in
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,negative,lost my tooth 2day whilst i wa eat gum oww
9b11b686ec,happy 1 year! <3,positive,happi 1 year 3
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,oh i hella forgot to say my offici good morn like to hear it here it go goooooooooooood morrrrrrrrn twittervil lol
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,phew will make a note in case anyon els run into the same issu
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,what about me i vote everi day for you
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,im starv thi diet is kill me but i cant eat after 8p m
ef12a3d183, i talk to you,neutral,i talk to you
f0db54f5bf,im soo bored...im deffo missing my music channels,negative,im soo bore im deffo miss my music channel
e651d415c6, nite nite bday girl  have fun at concert,positive,nite nite bday girl have fun at concert
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,had nicotin replac patch on for 4 hour so far so good but i did sleep for most of those 4 hour get a bit twitchi now
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,sanderson what with twatter late either i cant get on or the repli dont turn up
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,negative,should be sleep lost my voic a coupl day ago
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,66xlm hate when my park car get hit
287755c5dd, I`ve heard this fall. I`m waiting too!,neutral,ive heard thi fall im wait too
58c435d2cf, more nightmares?  *huggles*,neutral,more nightmar huggl
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,i am such a creeper i feel disappoint becaus of it my cyberstalk skill the internet no more privaci
01b2476dd7,going to bed its late and I have headache,negative,go to bed it late and i have headach
e02cf4af4c,happy mother`s day to all moms out there...,positive,happi mother day to all mom out there
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral,grab coffe from then make mom breakfast
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,im think that im go to have fun tonight and mayb some chang are come
b6b35af246, thanks. before the major chop.,neutral,thank befor the major chop
375e74d063," Haha I know, I cant handle the fame!  and thank you!",positive,haha i know i cant handl the fame and thank you
4700be3234,just got up and updated my ipod,neutral,just got up and updat my ipod
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,ye sober hahaha tanghal tapat dude haha wild i dont knowwww plan plan befor you go to u
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,positive,we never miss icarli my son ha a huge crush on miranda
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,saw jame carvil in the store today hi head is realli that bald
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral,yellow for 5z05g
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,which mean your just go to have to come back to vancouv and have it our way hahah
ca832cad51,Feeling smooth like chrome,positive,feel smooth like chrome
a8734230b6,Ew traffic,negative,ew traffic
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,download song while tri to sneak a lil homework in too which should be my main prioriti not song lol
e70d294d95,#NAME?,neutral,name
f84b89a828, Sounds like me,neutral,sound like me
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,bad day the day you realiz what mess youv put me through will be one of the happiest day of my life
242d92151a,Walking to class. I hate not having a bike....especially mine.,negative,walk to class i hate not have a bike especi mine
f3a77c2b5e,_nesmith,neutral,nesmith
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,fail inspect did you know you can pa wooven but not woantitip bracket which is onli sold woven thi is wors than tax
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,jona brother live to parti it rock so hard i love the song
7b1927e748,happy mother`s day to all the mothers in the world.,positive,happi mother day to all the mother in the world
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,35min through the 1hr 20min googl wave demo that look a lot of fun would love to test it though wnmsc
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,sleepi tabz is head to bed fun night listen through the next episod of jossd
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,the except for a short dude larenz fineass tate yum
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,screw the review i thought wolverin wa awesom but not enough domin monaghan for my like
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,if you follow u recent pleas dont be offend that we havent follow back we hit our limit hope we will be free soon
148ac38bea, Yes i work 6 to 3...,neutral,ye i work 6 to 3
641555ac70," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,hmmm mayb that what they meant they elud to someth brand new but you know how the medium is
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,neutral,done at the spa now meet vic for some late lunch
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,happi monday up and about go to tavar today hope everyon ha a bless day
1af124bc1c, Always have wanted to go to Oz,neutral,alway have want to go to oz
